10:38:26.542 [ApplicationImpl pooled thread 24] INFO  c.b.l.BrowserStackRunExtension - maven
10:38:26.544 [ApplicationImpl pooled thread 24] INFO  com.browserstack.utils.Helpers - null
13:24:01.092 [ApplicationImpl pooled thread 132] INFO  c.b.l.BrowserStackRunExtension - junit
13:24:01.095 [ApplicationImpl pooled thread 132] INFO  com.browserstack.utils.Helpers - null
13:24:01.096 [ApplicationImpl pooled thread 132] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:24:41.637 [ApplicationImpl pooled thread 135] INFO  c.b.l.BrowserStackRunExtension - cucumber java
13:24:41.637 [ApplicationImpl pooled thread 135] INFO  com.browserstack.utils.Helpers - null
13:24:41.652 [ApplicationImpl pooled thread 135] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:25:10.486 [ApplicationImpl pooled thread 131] INFO  c.b.l.BrowserStackRunExtension - cucumber java
13:25:10.487 [ApplicationImpl pooled thread 131] INFO  com.browserstack.utils.Helpers - null
13:25:10.489 [ApplicationImpl pooled thread 131] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:32:35.802 [ApplicationImpl pooled thread 135] INFO  c.b.l.BrowserStackRunExtension - cucumber java
13:32:35.802 [ApplicationImpl pooled thread 135] INFO  com.browserstack.utils.Helpers - null
13:32:35.803 [ApplicationImpl pooled thread 135] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:33:09.458 [ApplicationImpl pooled thread 135] INFO  c.b.l.BrowserStackRunExtension - cucumber java
13:33:09.459 [ApplicationImpl pooled thread 135] INFO  com.browserstack.utils.Helpers - null
13:33:09.461 [ApplicationImpl pooled thread 135] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:37:41.534 [ApplicationImpl pooled thread 143] INFO  c.b.l.BrowserStackRunExtension - cucumber java
13:37:41.534 [ApplicationImpl pooled thread 143] INFO  com.browserstack.utils.Helpers - null
13:37:41.535 [ApplicationImpl pooled thread 143] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:38:46.843 [ApplicationImpl pooled thread 145] INFO  c.b.l.BrowserStackRunExtension - cucumber java
13:38:46.843 [ApplicationImpl pooled thread 145] INFO  com.browserstack.utils.Helpers - null
13:38:46.845 [ApplicationImpl pooled thread 145] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:39:36.048 [ApplicationImpl pooled thread 137] INFO  c.b.l.BrowserStackRunExtension - cucumber java
